,date,heading,article,url
0,"18 October, 2023 ","Mumbai police arrest Shiv Sena (UBT) member absconding drug mafia Lalit Patil from Chennai, had fled from a hospital in Pune","The legal notice was sent after BJP MP Nishikant Dubey accused Mahua Moitra of taking bribes in exchange of asking questions in Parliament.In response to the formal complaint submitted to the Lok Sabha Speaker Om Birla by Nishikant Dubey, seeking an inquiry against Mahua Moitra, the TMC MP has sent a legal notice to the BJP Lok Sabha MP and advocate and her formal personal friend Jai Anant Dehadrai and a host of media organisations for allegedly ‘defaming’ her.The notice sent to BJP Lok Sabha MP Nishikant Dubey claimed that Moitra had recently raised questions about the veracity of Dubey’s claimed educational qualifications and said that he had lied in his election affidavit. This, the notice said, had ‘rattled’ Dubey and so he was now making these false allegations.The notice to the advocate and her former personal friend Jai Anant Dehadrai stated that they were once close friends but after a falling out, Dehadrai allegedly repeatedly threatened Moitra with several vile, malicious and vulgar messages, trespassed on her official residence, and stole personal belongings, including Moitra’s dog. As stated in the legal notice, the dog was eventually given back. Moitra had reported Dehadrai to the police after repeated violations.The notification further stated that Dehadrai attempted to get journalists to write false articles about Moitra but was unsuccessful due to a lack of evidence to back up the allegations. Dehadrai approached Dubey when journalists could not be persuaded, the notice claimed. It further stated that Dubey went on to repeat the allegations against the TMC MP and that he “did not even bother to conduct any due diligence of any kind to establish the veracity of the allegations.”The notice further added that Dubey and Dehadrai have cropped and leaked private morphed photos of Moitra. Dubey was asked to retract his letter to the speaker, all of his accusations, and to publicly apologize to Moitra. Dehadrai has also been asked to withdraw the allegations in all communications and issue a public apology.On 15th October, Bharatiya Janata Party (BJP) Lok Sabha (MP) Nishikant Dubey levelled serious allegations against Trinamool MP Mahua Moitra, saying she took cash and gifts from businessman Darshan Hiranandani to ask specific questions in the Parliament. Dubey raised the allegations based on a letter written to him by advocate Jai Anant Dehadrai and submitted a formal complaint to the Lok Sabha Speaker Om Birla seeking an inquiry against Moitra and urged the Speaker for her immediate suspension.OpIndia accessed a copy of the complaint filed by Adv Dehadrai that contained a list of items that Moitra allegedly got in exchange for asking questions in the Parliament. OpIndia documented what it found about the products and their costs.Whether NDTV or 'The Wire', they never have to worry about funds. In name of saving democracy, they get money from various sources. We need your support to fight them. Please contribute whatever you can affordSubscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Subscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Contact: [email protected]News and opinion website that brings you reports and narrative from a perspective often ignored or suppressed by the mainstream media of India.© OpIndia.com",https://www.opindia.com/2023/10/mumbai-police-arrest-shiv-sena-ubt-member-absconding-drug-mafia-lalit-patil-from-chennai/
1,"18 October, 2023 ",MahuaGate: Lok Sabha’s Ethics Committee calls BJP MP Nishikant Dubey and Adv Jai Anant to submit evidence against TMC MP Mahua Moitra,"The legal notice was sent after BJP MP Nishikant Dubey accused Mahua Moitra of taking bribes in exchange of asking questions in Parliament.In response to the formal complaint submitted to the Lok Sabha Speaker Om Birla by Nishikant Dubey, seeking an inquiry against Mahua Moitra, the TMC MP has sent a legal notice to the BJP Lok Sabha MP and advocate and her formal personal friend Jai Anant Dehadrai and a host of media organisations for allegedly ‘defaming’ her.The notice sent to BJP Lok Sabha MP Nishikant Dubey claimed that Moitra had recently raised questions about the veracity of Dubey’s claimed educational qualifications and said that he had lied in his election affidavit. This, the notice said, had ‘rattled’ Dubey and so he was now making these false allegations.The notice to the advocate and her former personal friend Jai Anant Dehadrai stated that they were once close friends but after a falling out, Dehadrai allegedly repeatedly threatened Moitra with several vile, malicious and vulgar messages, trespassed on her official residence, and stole personal belongings, including Moitra’s dog. As stated in the legal notice, the dog was eventually given back. Moitra had reported Dehadrai to the police after repeated violations.The notification further stated that Dehadrai attempted to get journalists to write false articles about Moitra but was unsuccessful due to a lack of evidence to back up the allegations. Dehadrai approached Dubey when journalists could not be persuaded, the notice claimed. It further stated that Dubey went on to repeat the allegations against the TMC MP and that he “did not even bother to conduct any due diligence of any kind to establish the veracity of the allegations.”The notice further added that Dubey and Dehadrai have cropped and leaked private morphed photos of Moitra. Dubey was asked to retract his letter to the speaker, all of his accusations, and to publicly apologize to Moitra. Dehadrai has also been asked to withdraw the allegations in all communications and issue a public apology.On 15th October, Bharatiya Janata Party (BJP) Lok Sabha (MP) Nishikant Dubey levelled serious allegations against Trinamool MP Mahua Moitra, saying she took cash and gifts from businessman Darshan Hiranandani to ask specific questions in the Parliament. Dubey raised the allegations based on a letter written to him by advocate Jai Anant Dehadrai and submitted a formal complaint to the Lok Sabha Speaker Om Birla seeking an inquiry against Moitra and urged the Speaker for her immediate suspension.OpIndia accessed a copy of the complaint filed by Adv Dehadrai that contained a list of items that Moitra allegedly got in exchange for asking questions in the Parliament. OpIndia documented what it found about the products and their costs.Whether NDTV or 'The Wire', they never have to worry about funds. In name of saving democracy, they get money from various sources. We need your support to fight them. Please contribute whatever you can affordSubscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Subscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Contact: [email protected]News and opinion website that brings you reports and narrative from a perspective often ignored or suppressed by the mainstream media of India.© OpIndia.com",https://www.opindia.com/2023/10/mahuagate-lok-sabha-ethics-committee-nishikant-dubey-jai-anant-to-submit-evidence-against-mahua-moitra/
2,"17 October, 2023 ","High Court allows Raghav Chadha’s petition to review expulsion from his bungalow, asks him to file an application with the city court","The legal notice was sent after BJP MP Nishikant Dubey accused Mahua Moitra of taking bribes in exchange of asking questions in Parliament.In response to the formal complaint submitted to the Lok Sabha Speaker Om Birla by Nishikant Dubey, seeking an inquiry against Mahua Moitra, the TMC MP has sent a legal notice to the BJP Lok Sabha MP and advocate and her formal personal friend Jai Anant Dehadrai and a host of media organisations for allegedly ‘defaming’ her.The notice sent to BJP Lok Sabha MP Nishikant Dubey claimed that Moitra had recently raised questions about the veracity of Dubey’s claimed educational qualifications and said that he had lied in his election affidavit. This, the notice said, had ‘rattled’ Dubey and so he was now making these false allegations.The notice to the advocate and her former personal friend Jai Anant Dehadrai stated that they were once close friends but after a falling out, Dehadrai allegedly repeatedly threatened Moitra with several vile, malicious and vulgar messages, trespassed on her official residence, and stole personal belongings, including Moitra’s dog. As stated in the legal notice, the dog was eventually given back. Moitra had reported Dehadrai to the police after repeated violations.The notification further stated that Dehadrai attempted to get journalists to write false articles about Moitra but was unsuccessful due to a lack of evidence to back up the allegations. Dehadrai approached Dubey when journalists could not be persuaded, the notice claimed. It further stated that Dubey went on to repeat the allegations against the TMC MP and that he “did not even bother to conduct any due diligence of any kind to establish the veracity of the allegations.”The notice further added that Dubey and Dehadrai have cropped and leaked private morphed photos of Moitra. Dubey was asked to retract his letter to the speaker, all of his accusations, and to publicly apologize to Moitra. Dehadrai has also been asked to withdraw the allegations in all communications and issue a public apology.On 15th October, Bharatiya Janata Party (BJP) Lok Sabha (MP) Nishikant Dubey levelled serious allegations against Trinamool MP Mahua Moitra, saying she took cash and gifts from businessman Darshan Hiranandani to ask specific questions in the Parliament. Dubey raised the allegations based on a letter written to him by advocate Jai Anant Dehadrai and submitted a formal complaint to the Lok Sabha Speaker Om Birla seeking an inquiry against Moitra and urged the Speaker for her immediate suspension.OpIndia accessed a copy of the complaint filed by Adv Dehadrai that contained a list of items that Moitra allegedly got in exchange for asking questions in the Parliament. OpIndia documented what it found about the products and their costs.Whether NDTV or 'The Wire', they never have to worry about funds. In name of saving democracy, they get money from various sources. We need your support to fight them. Please contribute whatever you can affordSubscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Subscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Contact: [email protected]News and opinion website that brings you reports and narrative from a perspective often ignored or suppressed by the mainstream media of India.© OpIndia.com",https://www.opindia.com/2023/10/high-court-allows-raghav-chadha-petition-review-expulsion-bungalow/
3,"17 October, 2023 ","Luxury watches, gold, and over 100 crore unaccounted cash: IT raids on contractors in Karnataka","The legal notice was sent after BJP MP Nishikant Dubey accused Mahua Moitra of taking bribes in exchange of asking questions in Parliament.In response to the formal complaint submitted to the Lok Sabha Speaker Om Birla by Nishikant Dubey, seeking an inquiry against Mahua Moitra, the TMC MP has sent a legal notice to the BJP Lok Sabha MP and advocate and her formal personal friend Jai Anant Dehadrai and a host of media organisations for allegedly ‘defaming’ her.The notice sent to BJP Lok Sabha MP Nishikant Dubey claimed that Moitra had recently raised questions about the veracity of Dubey’s claimed educational qualifications and said that he had lied in his election affidavit. This, the notice said, had ‘rattled’ Dubey and so he was now making these false allegations.The notice to the advocate and her former personal friend Jai Anant Dehadrai stated that they were once close friends but after a falling out, Dehadrai allegedly repeatedly threatened Moitra with several vile, malicious and vulgar messages, trespassed on her official residence, and stole personal belongings, including Moitra’s dog. As stated in the legal notice, the dog was eventually given back. Moitra had reported Dehadrai to the police after repeated violations.The notification further stated that Dehadrai attempted to get journalists to write false articles about Moitra but was unsuccessful due to a lack of evidence to back up the allegations. Dehadrai approached Dubey when journalists could not be persuaded, the notice claimed. It further stated that Dubey went on to repeat the allegations against the TMC MP and that he “did not even bother to conduct any due diligence of any kind to establish the veracity of the allegations.”The notice further added that Dubey and Dehadrai have cropped and leaked private morphed photos of Moitra. Dubey was asked to retract his letter to the speaker, all of his accusations, and to publicly apologize to Moitra. Dehadrai has also been asked to withdraw the allegations in all communications and issue a public apology.On 15th October, Bharatiya Janata Party (BJP) Lok Sabha (MP) Nishikant Dubey levelled serious allegations against Trinamool MP Mahua Moitra, saying she took cash and gifts from businessman Darshan Hiranandani to ask specific questions in the Parliament. Dubey raised the allegations based on a letter written to him by advocate Jai Anant Dehadrai and submitted a formal complaint to the Lok Sabha Speaker Om Birla seeking an inquiry against Moitra and urged the Speaker for her immediate suspension.OpIndia accessed a copy of the complaint filed by Adv Dehadrai that contained a list of items that Moitra allegedly got in exchange for asking questions in the Parliament. OpIndia documented what it found about the products and their costs.Whether NDTV or 'The Wire', they never have to worry about funds. In name of saving democracy, they get money from various sources. We need your support to fight them. Please contribute whatever you can affordSubscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Subscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Contact: [email protected]News and opinion website that brings you reports and narrative from a perspective often ignored or suppressed by the mainstream media of India.© OpIndia.com",https://www.opindia.com/2023/10/it-raids-contractors-in-karnataka-luxury-watches-gold-and-over-100-crore-cash/
4,"17 October, 2023 ","Mahua Moitra asked questions against Adani to favour Hiranandani after getting bribes, says advocate: Here is a list of what she asked and the response by govt","The legal notice was sent after BJP MP Nishikant Dubey accused Mahua Moitra of taking bribes in exchange of asking questions in Parliament.In response to the formal complaint submitted to the Lok Sabha Speaker Om Birla by Nishikant Dubey, seeking an inquiry against Mahua Moitra, the TMC MP has sent a legal notice to the BJP Lok Sabha MP and advocate and her formal personal friend Jai Anant Dehadrai and a host of media organisations for allegedly ‘defaming’ her.The notice sent to BJP Lok Sabha MP Nishikant Dubey claimed that Moitra had recently raised questions about the veracity of Dubey’s claimed educational qualifications and said that he had lied in his election affidavit. This, the notice said, had ‘rattled’ Dubey and so he was now making these false allegations.The notice to the advocate and her former personal friend Jai Anant Dehadrai stated that they were once close friends but after a falling out, Dehadrai allegedly repeatedly threatened Moitra with several vile, malicious and vulgar messages, trespassed on her official residence, and stole personal belongings, including Moitra’s dog. As stated in the legal notice, the dog was eventually given back. Moitra had reported Dehadrai to the police after repeated violations.The notification further stated that Dehadrai attempted to get journalists to write false articles about Moitra but was unsuccessful due to a lack of evidence to back up the allegations. Dehadrai approached Dubey when journalists could not be persuaded, the notice claimed. It further stated that Dubey went on to repeat the allegations against the TMC MP and that he “did not even bother to conduct any due diligence of any kind to establish the veracity of the allegations.”The notice further added that Dubey and Dehadrai have cropped and leaked private morphed photos of Moitra. Dubey was asked to retract his letter to the speaker, all of his accusations, and to publicly apologize to Moitra. Dehadrai has also been asked to withdraw the allegations in all communications and issue a public apology.On 15th October, Bharatiya Janata Party (BJP) Lok Sabha (MP) Nishikant Dubey levelled serious allegations against Trinamool MP Mahua Moitra, saying she took cash and gifts from businessman Darshan Hiranandani to ask specific questions in the Parliament. Dubey raised the allegations based on a letter written to him by advocate Jai Anant Dehadrai and submitted a formal complaint to the Lok Sabha Speaker Om Birla seeking an inquiry against Moitra and urged the Speaker for her immediate suspension.OpIndia accessed a copy of the complaint filed by Adv Dehadrai that contained a list of items that Moitra allegedly got in exchange for asking questions in the Parliament. OpIndia documented what it found about the products and their costs.Whether NDTV or 'The Wire', they never have to worry about funds. In name of saving democracy, they get money from various sources. We need your support to fight them. Please contribute whatever you can affordSubscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Subscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Contact: [email protected]News and opinion website that brings you reports and narrative from a perspective often ignored or suppressed by the mainstream media of India.© OpIndia.com",https://www.opindia.com/2023/10/mahua-moitra-asked-questions-against-adani-favour-hiranandani-bribes-list-of-questions/
5,"17 October, 2023 ",Promotion of Tribal Cultural Heritage and its importance to decolonisation and nation building: How the Modi govt has taken strides in this direction,"The legal notice was sent after BJP MP Nishikant Dubey accused Mahua Moitra of taking bribes in exchange of asking questions in Parliament.In response to the formal complaint submitted to the Lok Sabha Speaker Om Birla by Nishikant Dubey, seeking an inquiry against Mahua Moitra, the TMC MP has sent a legal notice to the BJP Lok Sabha MP and advocate and her formal personal friend Jai Anant Dehadrai and a host of media organisations for allegedly ‘defaming’ her.The notice sent to BJP Lok Sabha MP Nishikant Dubey claimed that Moitra had recently raised questions about the veracity of Dubey’s claimed educational qualifications and said that he had lied in his election affidavit. This, the notice said, had ‘rattled’ Dubey and so he was now making these false allegations.The notice to the advocate and her former personal friend Jai Anant Dehadrai stated that they were once close friends but after a falling out, Dehadrai allegedly repeatedly threatened Moitra with several vile, malicious and vulgar messages, trespassed on her official residence, and stole personal belongings, including Moitra’s dog. As stated in the legal notice, the dog was eventually given back. Moitra had reported Dehadrai to the police after repeated violations.The notification further stated that Dehadrai attempted to get journalists to write false articles about Moitra but was unsuccessful due to a lack of evidence to back up the allegations. Dehadrai approached Dubey when journalists could not be persuaded, the notice claimed. It further stated that Dubey went on to repeat the allegations against the TMC MP and that he “did not even bother to conduct any due diligence of any kind to establish the veracity of the allegations.”The notice further added that Dubey and Dehadrai have cropped and leaked private morphed photos of Moitra. Dubey was asked to retract his letter to the speaker, all of his accusations, and to publicly apologize to Moitra. Dehadrai has also been asked to withdraw the allegations in all communications and issue a public apology.On 15th October, Bharatiya Janata Party (BJP) Lok Sabha (MP) Nishikant Dubey levelled serious allegations against Trinamool MP Mahua Moitra, saying she took cash and gifts from businessman Darshan Hiranandani to ask specific questions in the Parliament. Dubey raised the allegations based on a letter written to him by advocate Jai Anant Dehadrai and submitted a formal complaint to the Lok Sabha Speaker Om Birla seeking an inquiry against Moitra and urged the Speaker for her immediate suspension.OpIndia accessed a copy of the complaint filed by Adv Dehadrai that contained a list of items that Moitra allegedly got in exchange for asking questions in the Parliament. OpIndia documented what it found about the products and their costs.Whether NDTV or 'The Wire', they never have to worry about funds. In name of saving democracy, they get money from various sources. We need your support to fight them. Please contribute whatever you can affordSubscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Subscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Contact: [email protected]News and opinion website that brings you reports and narrative from a perspective often ignored or suppressed by the mainstream media of India.© OpIndia.com",https://www.opindia.com/2023/10/promotion-of-tribal-cultural-heritage-decolonisation-nation-building-modi-govt-steps/
6,"13 October, 2023 ",Lessons from Hamas’ attack on Israel: The fake ‘Genocide of Muslims’ narrative in India will be used to justify Genocide of Hindus as ‘language of oppressed’,"The legal notice was sent after BJP MP Nishikant Dubey accused Mahua Moitra of taking bribes in exchange of asking questions in Parliament.In response to the formal complaint submitted to the Lok Sabha Speaker Om Birla by Nishikant Dubey, seeking an inquiry against Mahua Moitra, the TMC MP has sent a legal notice to the BJP Lok Sabha MP and advocate and her formal personal friend Jai Anant Dehadrai and a host of media organisations for allegedly ‘defaming’ her.The notice sent to BJP Lok Sabha MP Nishikant Dubey claimed that Moitra had recently raised questions about the veracity of Dubey’s claimed educational qualifications and said that he had lied in his election affidavit. This, the notice said, had ‘rattled’ Dubey and so he was now making these false allegations.The notice to the advocate and her former personal friend Jai Anant Dehadrai stated that they were once close friends but after a falling out, Dehadrai allegedly repeatedly threatened Moitra with several vile, malicious and vulgar messages, trespassed on her official residence, and stole personal belongings, including Moitra’s dog. As stated in the legal notice, the dog was eventually given back. Moitra had reported Dehadrai to the police after repeated violations.The notification further stated that Dehadrai attempted to get journalists to write false articles about Moitra but was unsuccessful due to a lack of evidence to back up the allegations. Dehadrai approached Dubey when journalists could not be persuaded, the notice claimed. It further stated that Dubey went on to repeat the allegations against the TMC MP and that he “did not even bother to conduct any due diligence of any kind to establish the veracity of the allegations.”The notice further added that Dubey and Dehadrai have cropped and leaked private morphed photos of Moitra. Dubey was asked to retract his letter to the speaker, all of his accusations, and to publicly apologize to Moitra. Dehadrai has also been asked to withdraw the allegations in all communications and issue a public apology.On 15th October, Bharatiya Janata Party (BJP) Lok Sabha (MP) Nishikant Dubey levelled serious allegations against Trinamool MP Mahua Moitra, saying she took cash and gifts from businessman Darshan Hiranandani to ask specific questions in the Parliament. Dubey raised the allegations based on a letter written to him by advocate Jai Anant Dehadrai and submitted a formal complaint to the Lok Sabha Speaker Om Birla seeking an inquiry against Moitra and urged the Speaker for her immediate suspension.OpIndia accessed a copy of the complaint filed by Adv Dehadrai that contained a list of items that Moitra allegedly got in exchange for asking questions in the Parliament. OpIndia documented what it found about the products and their costs.Whether NDTV or 'The Wire', they never have to worry about funds. In name of saving democracy, they get money from various sources. We need your support to fight them. Please contribute whatever you can affordSubscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Subscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Contact: [email protected]News and opinion website that brings you reports and narrative from a perspective often ignored or suppressed by the mainstream media of India.© OpIndia.com",https://www.opindia.com/2023/10/lessons-hamas-attack-israel-fake-genocide-of-muslims-india-justify-genocide-hindus-language-of-oppressed/
7,"10 October, 2023 ","There is no common brotherhood, only ‘common enemy’: How the Ummah ignores millions of Muslim victims but gets together against Jews, Hindus, and Christians","The legal notice was sent after BJP MP Nishikant Dubey accused Mahua Moitra of taking bribes in exchange of asking questions in Parliament.In response to the formal complaint submitted to the Lok Sabha Speaker Om Birla by Nishikant Dubey, seeking an inquiry against Mahua Moitra, the TMC MP has sent a legal notice to the BJP Lok Sabha MP and advocate and her formal personal friend Jai Anant Dehadrai and a host of media organisations for allegedly ‘defaming’ her.The notice sent to BJP Lok Sabha MP Nishikant Dubey claimed that Moitra had recently raised questions about the veracity of Dubey’s claimed educational qualifications and said that he had lied in his election affidavit. This, the notice said, had ‘rattled’ Dubey and so he was now making these false allegations.The notice to the advocate and her former personal friend Jai Anant Dehadrai stated that they were once close friends but after a falling out, Dehadrai allegedly repeatedly threatened Moitra with several vile, malicious and vulgar messages, trespassed on her official residence, and stole personal belongings, including Moitra’s dog. As stated in the legal notice, the dog was eventually given back. Moitra had reported Dehadrai to the police after repeated violations.The notification further stated that Dehadrai attempted to get journalists to write false articles about Moitra but was unsuccessful due to a lack of evidence to back up the allegations. Dehadrai approached Dubey when journalists could not be persuaded, the notice claimed. It further stated that Dubey went on to repeat the allegations against the TMC MP and that he “did not even bother to conduct any due diligence of any kind to establish the veracity of the allegations.”The notice further added that Dubey and Dehadrai have cropped and leaked private morphed photos of Moitra. Dubey was asked to retract his letter to the speaker, all of his accusations, and to publicly apologize to Moitra. Dehadrai has also been asked to withdraw the allegations in all communications and issue a public apology.On 15th October, Bharatiya Janata Party (BJP) Lok Sabha (MP) Nishikant Dubey levelled serious allegations against Trinamool MP Mahua Moitra, saying she took cash and gifts from businessman Darshan Hiranandani to ask specific questions in the Parliament. Dubey raised the allegations based on a letter written to him by advocate Jai Anant Dehadrai and submitted a formal complaint to the Lok Sabha Speaker Om Birla seeking an inquiry against Moitra and urged the Speaker for her immediate suspension.OpIndia accessed a copy of the complaint filed by Adv Dehadrai that contained a list of items that Moitra allegedly got in exchange for asking questions in the Parliament. OpIndia documented what it found about the products and their costs.Whether NDTV or 'The Wire', they never have to worry about funds. In name of saving democracy, they get money from various sources. We need your support to fight them. Please contribute whatever you can affordSubscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Subscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Contact: [email protected]News and opinion website that brings you reports and narrative from a perspective often ignored or suppressed by the mainstream media of India.© OpIndia.com",https://www.opindia.com/2023/10/ccommon-enemy-how-the-ummah-ignores-millions-of-muslim-victims-but-gets-together-against-jews-hindus-and-christians/
8,"6 October, 2023 ",The Hindu and how it is creating the North-South Divide: Repeatedly lying about devolution of funds and cheating their readers with misinformation,"The legal notice was sent after BJP MP Nishikant Dubey accused Mahua Moitra of taking bribes in exchange of asking questions in Parliament.In response to the formal complaint submitted to the Lok Sabha Speaker Om Birla by Nishikant Dubey, seeking an inquiry against Mahua Moitra, the TMC MP has sent a legal notice to the BJP Lok Sabha MP and advocate and her formal personal friend Jai Anant Dehadrai and a host of media organisations for allegedly ‘defaming’ her.The notice sent to BJP Lok Sabha MP Nishikant Dubey claimed that Moitra had recently raised questions about the veracity of Dubey’s claimed educational qualifications and said that he had lied in his election affidavit. This, the notice said, had ‘rattled’ Dubey and so he was now making these false allegations.The notice to the advocate and her former personal friend Jai Anant Dehadrai stated that they were once close friends but after a falling out, Dehadrai allegedly repeatedly threatened Moitra with several vile, malicious and vulgar messages, trespassed on her official residence, and stole personal belongings, including Moitra’s dog. As stated in the legal notice, the dog was eventually given back. Moitra had reported Dehadrai to the police after repeated violations.The notification further stated that Dehadrai attempted to get journalists to write false articles about Moitra but was unsuccessful due to a lack of evidence to back up the allegations. Dehadrai approached Dubey when journalists could not be persuaded, the notice claimed. It further stated that Dubey went on to repeat the allegations against the TMC MP and that he “did not even bother to conduct any due diligence of any kind to establish the veracity of the allegations.”The notice further added that Dubey and Dehadrai have cropped and leaked private morphed photos of Moitra. Dubey was asked to retract his letter to the speaker, all of his accusations, and to publicly apologize to Moitra. Dehadrai has also been asked to withdraw the allegations in all communications and issue a public apology.On 15th October, Bharatiya Janata Party (BJP) Lok Sabha (MP) Nishikant Dubey levelled serious allegations against Trinamool MP Mahua Moitra, saying she took cash and gifts from businessman Darshan Hiranandani to ask specific questions in the Parliament. Dubey raised the allegations based on a letter written to him by advocate Jai Anant Dehadrai and submitted a formal complaint to the Lok Sabha Speaker Om Birla seeking an inquiry against Moitra and urged the Speaker for her immediate suspension.OpIndia accessed a copy of the complaint filed by Adv Dehadrai that contained a list of items that Moitra allegedly got in exchange for asking questions in the Parliament. OpIndia documented what it found about the products and their costs.Whether NDTV or 'The Wire', they never have to worry about funds. In name of saving democracy, they get money from various sources. We need your support to fight them. Please contribute whatever you can affordSubscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Subscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Contact: [email protected]News and opinion website that brings you reports and narrative from a perspective often ignored or suppressed by the mainstream media of India.© OpIndia.com",https://www.opindia.com/2023/10/the-hindu-creating-north-south-divide-repeatedly-lying-devolution-of-funds-misinformation/
9,"4 October, 2023 ","From KCR’s offer to join NDA to Tribal Uni, a promise made by UPA: Two Telangana visits, explosive revelations by PM Modi will change the political game","The legal notice was sent after BJP MP Nishikant Dubey accused Mahua Moitra of taking bribes in exchange of asking questions in Parliament.In response to the formal complaint submitted to the Lok Sabha Speaker Om Birla by Nishikant Dubey, seeking an inquiry against Mahua Moitra, the TMC MP has sent a legal notice to the BJP Lok Sabha MP and advocate and her formal personal friend Jai Anant Dehadrai and a host of media organisations for allegedly ‘defaming’ her.The notice sent to BJP Lok Sabha MP Nishikant Dubey claimed that Moitra had recently raised questions about the veracity of Dubey’s claimed educational qualifications and said that he had lied in his election affidavit. This, the notice said, had ‘rattled’ Dubey and so he was now making these false allegations.The notice to the advocate and her former personal friend Jai Anant Dehadrai stated that they were once close friends but after a falling out, Dehadrai allegedly repeatedly threatened Moitra with several vile, malicious and vulgar messages, trespassed on her official residence, and stole personal belongings, including Moitra’s dog. As stated in the legal notice, the dog was eventually given back. Moitra had reported Dehadrai to the police after repeated violations.The notification further stated that Dehadrai attempted to get journalists to write false articles about Moitra but was unsuccessful due to a lack of evidence to back up the allegations. Dehadrai approached Dubey when journalists could not be persuaded, the notice claimed. It further stated that Dubey went on to repeat the allegations against the TMC MP and that he “did not even bother to conduct any due diligence of any kind to establish the veracity of the allegations.”The notice further added that Dubey and Dehadrai have cropped and leaked private morphed photos of Moitra. Dubey was asked to retract his letter to the speaker, all of his accusations, and to publicly apologize to Moitra. Dehadrai has also been asked to withdraw the allegations in all communications and issue a public apology.On 15th October, Bharatiya Janata Party (BJP) Lok Sabha (MP) Nishikant Dubey levelled serious allegations against Trinamool MP Mahua Moitra, saying she took cash and gifts from businessman Darshan Hiranandani to ask specific questions in the Parliament. Dubey raised the allegations based on a letter written to him by advocate Jai Anant Dehadrai and submitted a formal complaint to the Lok Sabha Speaker Om Birla seeking an inquiry against Moitra and urged the Speaker for her immediate suspension.OpIndia accessed a copy of the complaint filed by Adv Dehadrai that contained a list of items that Moitra allegedly got in exchange for asking questions in the Parliament. OpIndia documented what it found about the products and their costs.Whether NDTV or 'The Wire', they never have to worry about funds. In name of saving democracy, they get money from various sources. We need your support to fight them. Please contribute whatever you can affordSubscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Subscribe to our NewsletterEach morning, get an email to keep updated with all the news, opinions and analysis published by OpIndia.Enter your email address:Contact: [email protected]News and opinion website that brings you reports and narrative from a perspective often ignored or suppressed by the mainstream media of India.© OpIndia.com",https://www.opindia.com/2023/10/pm-modi-telangana-speeches-kcr-nda-tribal-university-political-game-change-state/
